PRIMARY_KEY,STATE,Region,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_REVENUE_PS,FEDERAL_REVENUE,FEDERAL_REVENUE_PS,STATE_REVENUE,STATE_REVENUE_PS,LOCAL_REVENUE,LOCAL_REVENUE_PS,TOTAL_EXPENDITURE,TOTAL_EXPENDITURE_PS,INSTRUCTION_EXPENDITURE,INSTRUCTION_EXPENDITURE_PS,SUPPORT_SERVICES_EXPENDITURE,SUPPORT_SERVICES_EXP_PS,OTHER_EXPENDITURE,OTHER_EXPENDITURE_PS,CAPITAL_OUTLAY_EXPENDITURE,CAPITAL_OUTLAY_EXP_PS,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1997_ALASKA,ALASKA,West,1997,128143,1131950,9.28787108,145563,1.194372877,692364,5.680981998,294023,2.412516205,1237103,10.15067201,651935,5.349254148,372788,3.058798431,40973,0.336191476,152330,1.249897435,2183,10249,10473,9954,7771,83217,36474,121874,223.8334546,277.6430714,211.5471536,262.1004242
1998_ALASKA,ALASKA,West,1998,130633,1206195,9.608435894,157335,1.253315808,745814,5.94108416,303046,2.414035926,1222893,9.741450591,680848,5.423571116,376448,2.998749353,42456,0.338200502,104903,0.835647429,2017,9838,10555,10497,8403,85124,38394,125535,223.8334546,277.6430714,211.5471536,262.1004242
1999_ALASKA,ALASKA,West,1999,133508,1243227,9.961116275,187153,1.499527274,740163,5.930413115,315911,2.531175886,1289988,10.33577976,705069,5.649229216,403903,3.236194795,42897,0.343703929,119079,0.954097494,1344,9583,10926,10575,8381,84674,38790,124808,223.8334546,277.6430714,211.5471536,262.1004242
2000_ALASKA,ALASKA,West,2000,132822,1313510,10.62031549,199520,1.613208386,774194,6.259704558,339796,2.74740255,1386904,11.21373879,717725,5.803127451,417637,3.37678183,46782,0.378253382,184546,1.492136903,1210,9677,10646,10377,8335,83555,38914,123679,223.8334546,277.6430714,211.5471536,264.3034426
2001_ALASKA,ALASKA,West,2001,131985,1325498,10.66764853,229297,1.845389283,732985,5.899085744,363216,2.923173499,1402839,11.29009126,701053,5.642096029,479510,3.859111175,48312,0.388816457,150279,1.209449998,1253,10095,10718,10702,8340,83540,39461,124254,223.8334546,277.6430714,211.5471536,264.3034426
2002_ALASKA,ALASKA,West,2002,133010,1377767,11.08465345,249222,2.005084678,773418,6.222438553,355127,2.857130214,1523327,12.25573836,747223,6.011689931,485124,3.903004948,50601,0.407104067,215409,1.733046382,1391,10069,10084,10840,8810,82920,39984,124295,223.8334546,277.6430714,211.5471536,264.3034426
2003_ALASKA,ALASKA,West,2003,133303,1425948,11.45726269,259423,2.084422054,813371,6.535305083,353154,2.837535554,1610289,12.93841296,763525,6.134800495,514052,4.13032509,55715,0.447661058,247005,1.984645423,1883,9475,10115,11140,8651,82337,40238,124458,232.9916543,279.0250699,211.5471536,268.7724206
2004_ALASKA,ALASKA,West,2004,133153,1477152,11.99961007,286447,2.326945573,809810,6.578472786,380895,3.094191714,1647250,13.38139724,775069,6.296255077,527349,4.283907392,54475,0.442526401,255826,2.078196588,1760,9870,9674,10857,8766,80351,40989,123100,232.9916543,279.0250699,211.5471536,268.7724206
2005_ALASKA,ALASKA,West,2005,132568,1599739,12.96868363,302846,2.455096714,878731,7.123652253,418162,3.38993466,1751718,14.20073934,829666,6.72589458,559084,4.532354038,55782,0.452210711,268700,2.178283639,1914,9934,9495,10793,9578,79377,42063,123354,235.5107055,278.9587094,211.0613186,266.8787375
2006_ALASKA,ALASKA,West,2006,132893,1625138,13.23262195,289855,2.360132885,918976,7.48272577,416307,3.389763299,1817656,14.80019216,871434,7.095616914,601197,4.895222818,58037,0.472563979,236931,1.929201306,1832,9795,9589,10155,10039,78540,42441,122813,235.5107055,278.9587094,211.0613186,266.8787375
